Song Title,Row Done?,Song FileLinks,Cover Art File Links,Snippet File Links,Studio Session File Links,Era,Date Released,Date Leaked,Date Recorded,Produced by,Features
demons and angels og | hang with us | demons and angels | demons & angels,FALSE,,,,,,,,,,
denial | denial </3 demo | denial demo,FALSE,,,,,,,,,,
deprived,FALSE,,,,,,,,,,
desire,FALSE,,,,,,,,,,
devil horns,FALSE,,,,,,,,,,
die to live,FALSE,,,,,,,,,,
die to me,FALSE,,,,,,,,,,
different | different story,FALSE,,,,,,,,,,
different phases | matrix | this cant be happening | this cant be happening <3 og,FALSE,,,,,,,,,,
diors,FALSE,,,,,,,,,,
dirty soda | do the most | no coaster | coca cola | the coast,FALSE,,,,,,,,,,
dj khalid,FALSE,,,,,,,,,,
do re mi | man down,FALSE,,,,,,,,,,
do you know the way | the way | do you know the wae | the wae | v1 | v2,FALSE,,,,,,,,,,
dome | juck,FALSE,,,,,,,,,,
dont care,FALSE,,,,,,,,,,
dont go | widow,FALSE,,,,,,,,,,
dont got time,FALSE,,,,,,,,,,
dont know what im on | dont know what i know,FALSE,,,,,,,,,,
dont talk to me,FALSE,,,,,,,,,,
doom,FALSE,,,,,,,,,,
door | meet me at the door | uh,FALSE,,,,,,,,,,
draco on me | backwoods,FALSE,,,,,,,,,,
dream$ | dreams,FALSE,,,,,,,,,,
drive me crazy,FALSE,,,,,,,,,,
drivin so fast | so fast,FALSE,,,,,,,,,,
drown,FALSE,,,,,,,,,,
drugs are my friends | sick | sick of my friends,FALSE,,,,,,,,,,
drugz,FALSE,,,,,,,,,,
drunk and honest ducks,FALSE,,,,,,,,,,
ducks,FALSE,,,,,,,,,,
dumb slut,FALSE,,,,,,,,,,
dummy,FALSE,,,,,,,,,,
dyslexic | hectic,FALSE,,,,,,,,,,
electric chair | insecurities,FALSE,,,,,,,,,,
elevate,FALSE,,,,,,,,,,
empty,FALSE,,,,,,,,,,
end of the road,FALSE,,,,,,,,,,
everlasting | let it bust,FALSE,,,,,,,,,,
everlasting love,FALSE,,,,,,,,,,
evil twins,FALSE,,,,,,,,,,
eye contact | look me in the eyes,FALSE,,,,,,,,,,
eyes up,FALSE,,,,,,,,,,
facetious | for the weekend,FALSE,,,,,,,,,,
faded | oh no,FALSE,,,,,,,,,,
fall back,FALSE,,,,,,,,,,
fall through,FALSE,,,,,,,,,,
falling down,FALSE,,,,,,,,,,
fast | last call,FALSE,,,,,,,,,,
fast forward | passport,FALSE,,,,,,,,,,
feel alone | stuck in my mind,FALSE,,,,,,,,,,
feeling,FALSE,,,,,,,,,,
feeling myself | psychedelics,FALSE,,,,,,,,,,
feline,FALSE,,,,,,,,,,
fever | nerves,FALSE,,,,,,,,,,
fine china,FALSE,,,,,,,,,,
finessin hoes | for your life | on the daily,FALSE,,,,,,,,,,
fire,FALSE,,,,,,,,,,
fire in my lungs,FALSE,,,,,,,,,,
fireflies | fire flies | must be nice,FALSE,,,,,,,,,,
first time,FALSE,,,,,,,,,,
flavor,FALSE,,,,,,,,,,
flaws | ray charles,FALSE,,,,,,,,,,
flaws and sins,FALSE,,,,,,,,,,
fleur de lis | mr freeze | mr.freeze | fur elise | für elise,FALSE,,,,,,,,,,
flex,FALSE,,,,,,,,,,
flintstones | wartime,FALSE,,,,,,,,,,
floor it,FALSE,,,,,,,,,,
foo foo | amusing,FALSE,,,,,,,,,,
for the taking,FALSE,,,,,,,,,,
forever | left you | pt2 | forever pt2,FALSE,,,,,,,,,,
forever love,FALSE,,,,,,,,,,
forget me not | dont forget me | smile to go,FALSE,,,,,,,,,,
four words | fuck you pay me | fypm,FALSE,,,,,,,,,,
franky on me,FALSE,,,,,,,,,,
freaked it | air em out,FALSE,,,,,,,,,,
freestyle | freestyle 2 | iceberg avalanche | buckle my shoe | juice x chance freestyle | nothin but a g thang | reach,FALSE,,,,,,,,,,
friends die | fuck about your feelings,FALSE,,,,,,,,,,
from afar,FALSE,,,,,,,,,,
from my window | world from my window | wrld from my window | 3 xans | window | xo | wrld my window,FALSE,,,,,,,,,,
